Index,emote_display,link,Emote,IMAGE,Cohort,emotion_recognition,anger_calmness,despair_hope,disgust_like,hate_love,sadness_joy,anticipation_surprise,sacrasm_lvl,Confidence_answer
282,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/1220086/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/1220086/1.0,TwitchRPG,,Animal or creature recognisable emote,3,-4,2,0,-4,0,0,0,1
283,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/300116344/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/300116344/1.0,TwitchSings,,Not recognisable,0,0,0,0,0,0,0,0,0
285,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/479745/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/479745/1.0,TwitchVotes,,Not recognisable,0,0,0,0,0,0,0,0,0
265,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_5fa0f9da251941988f31b6d7632c021c/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_5fa0f9da251941988f31b6d7632c021c/1.0,TWITH,,Not recognisable,0,0,0,0,0,0,0,0,0
288,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/114856/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/114856/1.0,UncleNox,,Painted face emote,10,8,1,0,-1,0,-6,0,2
287,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/111792/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/111792/1.0,UnSane,,Real Face based emote,10,-8,-6,-7,-9,-3,9,0,5
286,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/134255/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/134255/1.0,UWot,,Real Face based emote,10,-7,-4,-7,-4,-6,8,0,5
290,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/81274/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/81274/1.0,VoHiYo,,Painted face emote,10,9,4,1,1,3,6,0,8
291,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/106294/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/106294/1.0,VoteNay,,Other recognisable emotes,2,8,0,-5,-2,-5,0,0,5
292,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/106293/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/106293/1.0,VoteYea,,Other recognisable emotes,2,8,0,5,2,5,0,0,5
294,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/1896/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/1896/1.0,WholeWheat,,Real Face based emote,10,8,0,-2,-1,-1,7,0,6
295,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_1fda4a1b40094c93af334f8b60868a7c/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_1fda4a1b40094c93af334f8b60868a7c/1.0,WhySoSerious,,Painted face emote,10,4,0,0,-5,6,0,0,2
296,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_26c64502bbc64247bef6f2a712be8028/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_26c64502bbc64247bef6f2a712be8028/1.0,WoTJason,,Real Face based emote,10,9,0,1,-4,1,-10,3,4
293,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/114847/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/114847/1.0,WTRuck,,Real Face based emote,10,8,1,-2,1,1,2,0,6
297,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/28087/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/28087/1.0,WutFace,,Real Face based emote,10,-4,-8,-10,-2,-8,10,0,9
298,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/134254/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/134254/1.0,YouDontSay,,Real Face based emote,10,6,2,6,2,5,7,4,6
299,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/4337/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/4337/1.0,YouWHY,,Real Face based emote,10,-4,-7,-8,-3,-5,7,0,6
