"channel_id","emote"
191498,"fataGo"
191498,"fataLogo"
191498,"fataLove"
191498,"fataPrac"
191498,"fataRage"
191498,"fataRekt"
191498,"fataSalt"
191498,"fataTroll"
191498,"fataWhatever"
196858,"omieStare"
196858,"omieDevil"
196858,"omieSus"
196858,"omieShy"
196858,"omieGasm"
196858,"omieP"
196858,"omieHmm"
196858,"omieW"
196858,"omieHug"
196858,"omieNotes"
196858,"omieWave"
196858,"omieMEGALUL"
196858,"omieCozycorn"
196858,"omieBop"
196858,"omieEZ"
196858,"omieGGEZ"
196858,"omieRage"
196858,"omieL"
196858,"omieGG"
196858,"omieWiggle"
196858,"omieL3"
196858,"omieCozy"
196858,"omieGiggle"
196858,"omieFlower"
196858,"omieE"
196858,"omieCopium"
196858,"omiePls"
196858,"omieBear"
196858,"omieSadge"
196858,"omieGun"
196858,"omieAngry"
196858,"omiePreg"
196858,"omieJail"
196858,"omieTurk"
196858,"omieRaid"
196858,"omieYikes"
196858,"omieCry"
209686,"dsiShrug"
209686,"dsiExe"
209686,"dsiLove"
209686,"dsiLink"
209686,"dsiDratacion"
209686,"dsiFeliz"
209686,"dsiCora"
209686,"dsiMoney"
209686,"dsiChuchu"
209686,"dsiSusto"
209686,"dsiMiau"
209686,"dsiByakko"
209686,"dsiSeductor"
209686,"dsiSsj"
209686,"dsiCry"
209686,"dsiBicilon"
209686,"dsiHum"
209686,"dsiMetroid"
209686,"dsiPalm"
209686,"dsiMario"
216037,"svxn01"
216037,"svxnSad"
216037,"svxnSideeye"
216037,"svxnWave"
216037,"svxnLove"
216037,"svxnMad"
216037,"svxnHappy"
216037,"svxnCry"
216037,"svxnGG"
216037,"svxn10"
216037,"svxnLOL"
216037,"svxnNo"
216037,"svxnZz"
216037,"svxnSUS"
216037,"svxnRaid"
216037,"svxnLUL"
216037,"svxnHype"
216037,"svxnBon"
216037,"svxnHi"
216037,"svxnRave"
216037,"svxnPew"
216037,"svxnHiccup"
216037,"svxnRita"
216037,"svxnNm"
216037,"svxnMaxrage"
217568,"ilcBuff"
217568,"ilcS"
217568,"ilcLove"
217568,"ilcAnime"
217568,"ilcSpurt"
217568,"ilcHey"
217568,"ilcD"
217568,"ilcKEK"
217568,"ilcPog"
217568,"ilcRage"
217568,"ilcThink"
217568,"ilcGBX"
217568,"ilcEvil"
217568,"ilcREEE"
217568,"ilcMansion"
217568,"ilcMoney"
217568,"ilcFurry1"
217568,"ilcFurry2"
217568,"ilcFurry3"
217568,"ilcFurry4"
217568,"ilcFurry5"
217568,"ilcRGB"
217568,"ilcNoted"
217568,"ilcShake"
217568,"ilcPogSlide"
217568,"ilcShepard"
217568,"ilcSpin"
